Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
-0.125,-0.75,0,-0.03857422,0.01123047,0.9790039,0.09082031,-0.1118164,-0.3027344
-0.125,-0.625,-0.25,-0.04638672,0.01123047,0.9829102,0.0859375,-0.1142578,-0.3222656
-0.375,-0.625,-0.3125,-0.03857422,0.007324219,0.9790039,0.0859375,-0.1142578,-0.3222656
-0.125,-1.3125,-0.625,-0.04638672,0.01513672,0.9555664,0.0859375,-0.1142578,-0.3222656
0.0625,-1.125,-0.1875,-0.04248047,0.03076172,0.9711914,0.0859375,-0.1142578,-0.3222656
-0.5,-0.625,-0.3125,-0.03857422,0.01513672,0.9321289,0.09082031,-0.1069336,-0.3139648
0.0625,-0.6875,-0.4375,-0.03466797,0.01904297,0.9711914,0.09082031,-0.1069336,-0.3139648
0,-0.625,-0.8125,-0.03466797,0.01513672,0.9555664,0.09082031,-0.1069336,-0.3139648
0.3125,-0.125,-0.5625,-0.03857422,0.01123047,0.9790039,0.08251953,-0.109375,-0.3095703
0.6875,-0.375,-0.5625,-0.03076172,0.01513672,0.9672852,0.08251953,-0.109375,-0.3095703
0.625,0.125,-0.6875,-0.03466797,0.01513672,0.9672852,0.08251953,-0.109375,-0.3095703
0.6875,-0.125,-0.875,-0.03076172,0.02685547,0.9672852,0.09423828,-0.112793,-0.3095703
0.5625,-0.375,-0.6875,-0.03857422,0.01513672,0.9555664,0.09423828,-0.112793,-0.3095703
0.9375,-0.75,-1,-0.02685547,0.01513672,0.9672852,0.09423828,-0.112793,-0.3095703
0.75,-0.0625,-1.0625,-0.02294922,0.01513672,0.9672852,0.09423828,-0.112793,-0.3095703
1.25,-0.375,-0.9375,-0.03857422,0.007324219,0.9633789,0.09423828,-0.112793,-0.3095703
1.0625,0.0625,-1.3125,-0.03466797,0.04248047,0.9711914,0.09423828,-0.112793,-0.3095703
1.1875,-0.625,-1.3125,-0.02685547,0.007324219,0.9672852,0.09423828,-0.112793,-0.3095703
0.6875,0,-1.5625,-0.05419922,0.02294922,0.9829102,0.09423828,-0.1118164,-0.3178711
1.3125,-0.0625,-1,-0.04248047,0.01123047,0.9907227,0.09423828,-0.1118164,-0.3178711
1.25,-0.8125,-1.375,-0.05419922,0.007324219,0.9750977,0.09423828,-0.1118164,-0.3178711
1.0625,0,-0.9375,-0.03466797,0.01123047,0.9711914,0.08740234,-0.1083984,-0.3193359
1.5,-0.4375,-0.875,-0.04638672,-0.007324219,0.9711914,0.08740234,-0.1083984,-0.3193359
1.3125,0.3125,-0.5,-0.05029297,-0.003417969,0.9672852,0.08740234,-0.1083984,-0.3193359
1.3125,-0.1875,-1,-0.04638672,0.01123047,0.9829102,0.08740234,-0.1083984,-0.3193359
1.25,-0.3125,-0.9375,-0.04248047,0.02685547,0.9985352,0.08740234,-0.1083984,-0.3193359
1,-0.1875,-0.6875,-0.05029297,0.01513672,0.9750977,0.08740234,-0.1083984,-0.3193359
0.625,-0.4375,-0.5625,-0.03857422,0.007324219,0.9711914,0.08740234,-0.1083984,-0.3193359
0.375,-0.875,-0.6875,-0.05810547,-0.003417969,0.9829102,0.08984375,-0.1142578,-0.3095703
0.5,-1.0625,-0.8125,-0.03857422,0.007324219,0.9672852,0.08984375,-0.1142578,-0.3095703
0.875,-0.25,-0.75,-0.05029297,0,0.9672852,0.08984375,-0.1142578,-0.3095703
0.5,-0.375,-0.1875,-0.05029297,0.03466797,0.9477539,0.09667969,-0.1176758,-0.3110352
0.3125,-0.5625,-0.5,-0.03857422,0.01904297,0.9829102,0.09667969,-0.1176758,-0.3110352
0.9375,-0.5625,-0.4375,-0.04638672,0.01513672,0.9711914,0.09667969,-0.1176758,-0.3110352
0.4375,-0.3125,-0.6875,-0.05810547,0.01513672,0.9946289,0.09521484,-0.109375,-0.3222656
0.6875,-0.4375,-0.8125,-0.03076172,0.01513672,0.9946289,0.09521484,-0.109375,-0.3222656
1,-0.1875,-0.25,-0.05029297,0.02685547,0.9868164,0.09521484,-0.109375,-0.3222656
0.375,-0.3125,-0.8125,-0.04638672,0.01513672,0.9829102,0.09521484,-0.109375,-0.3222656
0.4375,-0.125,-0.625,-0.03466797,0.01123047,0.9555664,0.08984375,-0.105957,-0.3125
0.1875,-0.875,-0.625,-0.02685547,0.01513672,0.9750977,0.08984375,-0.105957,-0.3125
0.4375,0.0625,-0.6875,-0.03076172,0.03076172,0.9868164,0.08984375,-0.105957,-0.3125
-0.4375,-1.0625,-0.625,-0.04248047,0.01904297,0.9946289,0.08837891,-0.1118164,-0.3041992
0.25,0.125,-0.5625,-0.03857422,0,0.9750977,0.08837891,-0.1118164,-0.3041992
-0.3125,0.0625,-0.25,-0.05810547,0.01513672,0.9672852,0.08837891,-0.1118164,-0.3041992
0.125,-1.1875,-0.1875,-0.04638672,0.007324219,0.9711914,0.1000977,-0.1118164,-0.3154297
-0.125,-0.375,-0.5625,-0.05029297,-0.007324219,0.9868164,0.1000977,-0.1118164,-0.3154297
-0.75,-0.8125,-0.125,-0.05029297,0.01513672,0.9555664,0.1000977,-0.1118164,-0.3154297
-0.3125,-0.3125,-0.75,-0.05810547,0.01123047,0.9633789,0.1000977,-0.1118164,-0.3154297
-0.125,-0.3125,0.0625,-0.03076172,0.007324219,0.9555664,0.08837891,-0.1176758,-0.3154297
-0.5,0.1875,-0.3125,-0.01904297,0.02294922,0.9829102,0.08837891,-0.1176758,-0.3154297
-0.875,-0.6875,-0.0625,-0.04638672,0.01123047,0.9633789,0.08837891,-0.1176758,-0.3154297
-0.4375,0,-0.3125,-0.04248047,0.01513672,0.9555664,0.09179688,-0.1083984,-0.3208008
-0.5625,0.0625,-0.1875,-0.03857422,0.007324219,0.9750977,0.09179688,-0.1083984,-0.3208008
-0.25,0.25,0,-0.04638672,0.01513672,0.9594727,0.09179688,-0.1083984,-0.3208008
